Location,Date,Age,Length
AL,19-May-98,1,89
AL,19-May-98,1,115
AL,19-May-98,1,129
AL,19-May-98,1,111
AL,19-May-98,1,104
AL,19-May-98,1,88
AL,19-May-98,1,92
AL,19-May-98,1,97
AL,19-May-98,1,100
AL,21-May-98,1,129
AL,21-May-98,1,119
AL,21-May-98,1,115
AL,21-May-98,1,125
AL,21-May-98,1,120
AL,21-May-98,1,104
AL,21-May-98,1,104
AL,21-May-98,1,112
AL,21-May-98,1,115
AL,21-May-98,1,112
AL,21-May-98,1,121
AL,21-May-98,1,104
AL,21-May-98,1,92
AL,21-May-98,1,125
AL,21-May-98,1,117
AL,21-May-98,1,121
AL,21-May-98,1,130
AL,21-May-98,1,123
AL,21-May-98,1,124
AL,21-May-98,1,98
AL,21-May-98,1,125
AL,21-May-98,1,126
AL,21-May-98,1,102
AL,21-May-98,1,116
AL,21-May-98,1,98
AL,21-May-98,1,99
AL,21-May-98,1,99
AL,21-May-98,1,94
AL,21-May-98,1,121
AL,21-May-98,1,100
AL,21-May-98,1,94
AL,21-May-98,1,103
AL,21-May-98,1,130
AL,21-May-98,1,120
AL,21-May-98,1,117
AL,21-May-98,1,93
AL,21-May-98,1,120
AL,21-May-98,1,121
AL,21-May-98,1,121
AL,21-May-98,1,98
AL,21-May-98,1,134
AL,21-May-98,1,115
AL,21-May-98,1,105
AL,21-May-98,1,135
BR,8-May-00,1,116
BR,8-May-00,1,91
BR,8-May-00,1,89
BR,8-May-00,1,87
BR,8-May-00,1,82
BR,11-May-00,1,84
BR,12-May-00,1,91
BR,12-May-00,1,86
BR,13-May-00,1,101
BR,13-May-00,1,107
BR,13-May-00,1,107
BR,14-May-00,1,94
BR,14-May-00,1,102
BR,15-May-00,1,105
BR,15-May-00,1,90
BR,15-May-00,1,107
BR,15-May-00,1,91
BR,15-May-00,1,91
BR,15-May-00,1,100
BR,15-May-00,1,97
BR,16-May-00,1,93
BR,16-May-00,1,91
BR,16-May-00,1,101
BR,16-May-00,1,97
BR,16-May-00,1,109
BR,16-May-00,1,94
BR,17-May-00,1,113
BR,17-May-00,1,
BR,17-May-00,1,95
BR,17-May-00,1,88
BR,17-May-00,1,105
BR,17-May-00,1,96
BR,17-May-00,1,103
BR,18-May-00,1,97
BR,18-May-00,1,99
BR,18-May-00,1,81
BR,18-May-00,1,95
BR,18-May-00,1,91
BR,18-May-00,1,98
BR,18-May-00,1,97
BR,18-May-00,1,105
BR,18-May-00,1,95
BR,18-May-00,1,87
BR,18-May-00,1,95
BR,18-May-00,1,91
BR,18-May-00,1,102
BR,18-May-00,1,94
BR,19-May-00,1,92
BR,19-May-00,1,103
BR,19-May-00,1,90
BR,19-May-00,1,89
BR,19-May-00,1,105
BR,19-May-00,1,97
BR,19-May-00,1,99
BR,19-May-00,1,104
BR,19-May-00,1,103
BR,19-May-00,1,95
BR,19-May-00,1,84
BR,19-May-00,1,102
BR,19-May-00,1,90
BR,19-May-00,1,95
BR,19-May-00,1,92
BR,19-May-00,1,91
BR,19-May-00,1,85
BR,20-May-00,1,95
BR,20-May-00,1,92
BR,20-May-00,1,113
BR,20-May-00,1,97
BR,20-May-00,1,97
BR,20-May-00,1,106
BR,20-May-00,1,98
BR,20-May-00,1,92
BR,20-May-00,1,89
BR,21-May-00,1,106
BR,22-May-00,1,92
BR,22-May-00,1,100
BR,23-May-00,1,87
BR,23-May-00,1,108
BR,23-May-00,1,107
BR,23-May-00,1,90
BR,23-May-00,1,88
BR,24-May-00,1,95
BR,24-May-00,1,92
BR,24-May-00,1,91
BR,24-May-00,1,94
BR,24-May-00,1,100
BR,24-May-00,1,94
BR,25-May-00,1,87
BR,25-May-00,1,94
BR,25-May-00,1,88
BR,25-May-00,1,97
BR,25-May-00,1,117
BR,25-May-00,1,90
BR,26-May-00,1,102
BR,26-May-00,1,113
BR,26-May-00,1,97
BR,26-May-00,1,98
BR,26-May-00,1,92
BR,26-May-00,1,117
BR,27-May-00,1,92
BR,27-May-00,1,103
BR,27-May-00,1,108
BR,27-May-00,1,105
BR,27-May-00,1,98
BR,27-May-00,1,101
BR,27-May-00,1,96
BR,27-May-00,1,88
BR,28-May-00,1,116
BR,28-May-00,1,113
BR,28-May-00,1,125
BR,28-May-00,1,92
BR,28-May-00,1,93
BR,28-May-00,1,97
BR,28-May-00,1,96
BR,29-May-00,1,85
BR,29-May-00,1,94
BR,29-May-00,1,95
BR,29-May-00,1,109
BR,29-May-00,1,94
BR,29-May-00,1,97
BR,29-May-00,1,91
BR,30-May-00,1,90
BR,30-May-00,1,95
BR,30-May-00,1,98
BR,30-May-00,1,97
BR,30-May-00,1,101
BR,30-May-00,1,98
BR,30-May-00,1,100
BR,30-May-00,1,101
BR,30-May-00,1,101
BR,30-May-00,1,92
BR,30-May-00,1,96
BR,1-Jun-00,1,98
BR,1-Jun-00,1,95
BR,1-Jun-00,1,107
BR,1-Jun-00,1,100
BR,1-Jun-00,1,112
BR,1-Jun-00,1,94
BR,1-Jun-00,1,105
BR,1-Jun-00,1,112
BR,1-Jun-00,1,100
BR,1-Jun-00,1,96
BR,1-Jun-00,1,95
BR,1-Jun-00,1,90
BR,1-Jun-00,1,106
BR,1-Jun-00,1,100
BR,2-Jun-00,1,100
BR,2-Jun-00,1,100
BR,2-Jun-00,1,105
BR,2-Jun-00,1,104
BR,2-Jun-00,1,102
BR,2-Jun-00,1,102
BR,2-Jun-00,1,95
BR,2-Jun-00,1,98
BR,2-Jun-00,1,97
BR,2-Jun-00,1,107
BR,3-Jun-00,1,108
BR,3-Jun-00,1,99
BR,3-Jun-00,1,100
BR,3-Jun-00,1,96
BR,3-Jun-00,1,110
BR,3-Jun-00,1,110
BR,3-Jun-00,1,97
BR,3-Jun-00,1,112
BR,3-Jun-00,1,111
BR,3-Jun-00,1,105
BR,4-Jun-00,1,99
BR,4-Jun-00,1,107
BR,4-Jun-00,1,100
BR,4-Jun-00,1,105
BR,4-Jun-00,1,105
BR,4-Jun-00,1,108
BR,4-Jun-00,1,97
BR,4-Jun-00,1,105
BR,4-Jun-00,1,97
BR,4-Jun-00,1,95
BR,5-Jun-00,1,86
BR,5-Jun-00,1,110
BR,5-Jun-00,1,95
BR,5-Jun-00,1,102
BR,5-Jun-00,1,96
BR,5-Jun-00,1,104
BR,5-Jun-00,1,97
BR,5-Jun-00,1,106
BR,5-Jun-00,1,105
BR,5-Jun-00,1,99
BR,6-Jun-00,1,98
BR,6-Jun-00,1,98
BR,6-Jun-00,1,109
BR,6-Jun-00,1,96
BR,6-Jun-00,1,106
BR,6-Jun-00,1,100
BR,6-Jun-00,1,101
BR,6-Jun-00,1,103
BR,6-Jun-00,1,104
BR,6-Jun-00,1,97
BR,7-Jun-00,1,98
BR,7-Jun-00,1,105
BR,7-Jun-00,1,111
BR,7-Jun-00,1,105
BR,7-Jun-00,1,104
BR,7-Jun-00,1,
BR,7-Jun-00,1,96
BR,7-Jun-00,1,110
BR,7-Jun-00,1,94
BR,7-Jun-00,1,100
BR,11-May-00,2,110
BR,12-May-00,2,105
BR,13-May-00,2,105
BR,13-May-00,2,120
BR,14-May-00,2,118
BR,14-May-00,2,116
BR,14-May-00,2,114
BR,14-May-00,2,101
BR,15-May-00,2,115
BR,16-May-00,2,117
BR,16-May-00,2,113
BR,16-May-00,2,100
BR,17-May-00,2,101
BR,17-May-00,2,113
BR,18-May-00,2,110
BR,18-May-00,2,130
BR,18-May-00,2,115
BR,18-May-00,2,105
BR,19-May-00,2,112
BR,19-May-00,2,107
BR,19-May-00,2,110
BR,19-May-00,2,105
BR,19-May-00,2,103
BR,19-May-00,2,122
BR,19-May-00,2,104
BR,20-May-00,2,121
BR,21-May-00,2,111
BR,21-May-00,2,111
BR,21-May-00,2,110
BR,21-May-00,2,112
BR,21-May-00,2,109
BR,22-May-00,2,108
BR,22-May-00,2,107
BR,22-May-00,2,116
BR,23-May-00,2,119
BR,23-May-00,2,123
BR,24-May-00,2,115
BR,24-May-00,2,117
BR,24-May-00,2,113
BR,24-May-00,2,121
BR,25-May-00,2,115
BR,25-May-00,2,116
BR,25-May-00,2,118
BR,25-May-00,2,107
BR,26-May-00,2,101
BR,26-May-00,2,109
BR,26-May-00,2,123
BR,26-May-00,2,113
BR,27-May-00,2,106
BR,27-May-00,2,112
BR,27-May-00,2,115
BR,27-May-00,2,104
BR,28-May-00,2,117
BR,28-May-00,2,113
BR,28-May-00,2,104
BR,29-May-00,2,120
BR,29-May-00,2,115
BR,29-May-00,2,117
BR,15-May-01,1,98
BR,15-May-01,1,90
BR,15-May-01,1,100
BR,15-May-01,1,109
BR,15-May-01,1,115
BR,15-May-01,1,111
BR,16-May-01,1,115
BR,16-May-01,1,90
BR,16-May-01,1,121
BR,16-May-01,1,93
BR,16-May-01,1,100
BR,16-May-01,1,108
BR,17-May-01,1,91
BR,17-May-01,1,93
BR,17-May-01,1,122
BR,17-May-01,1,92
BR,17-May-01,1,92
BR,18-May-01,1,95
BR,18-May-01,1,110
BR,18-May-01,1,90
BR,18-May-01,1,100
BR,18-May-01,1,111
BR,18-May-01,1,82
BR,19-May-01,1,101
BR,19-May-01,1,91
BR,19-May-01,1,103
BR,19-May-01,1,95
BR,19-May-01,1,90
BR,19-May-01,1,88
BR,19-May-01,1,89
BR,19-May-01,1,105
BR,19-May-01,1,92
BR,19-May-01,1,98
BR,20-May-01,1,96
BR,20-May-01,1,90
BR,20-May-01,1,90
BR,20-May-01,1,114
BR,20-May-01,1,109
BR,21-May-01,1,97
BR,21-May-01,1,100
BR,21-May-01,1,97
BR,21-May-01,1,96
BR,21-May-01,1,98
BR,21-May-01,1,95
BR,21-May-01,1,101
BR,21-May-01,1,118
BR,21-May-01,1,95
BR,22-May-01,1,95
BR,22-May-01,1,105
BR,22-May-01,1,87
BR,22-May-01,1,94
BR,22-May-01,1,92
BR,22-May-01,1,112
BR,22-May-01,1,96
BR,22-May-01,1,88
BR,22-May-01,1,106
BR,22-May-01,1,101
BR,22-May-01,1,106
BR,22-May-01,1,105
BR,22-May-01,1,96
BR,22-May-01,1,108
BR,22-May-01,1,111
BR,22-May-01,1,118
BR,22-May-01,1,84
BR,23-May-01,1,91
BR,23-May-01,1,112
BR,23-May-01,1,100
BR,23-May-01,1,88
BR,23-May-01,1,97
BR,25-May-01,1,105
BR,25-May-01,1,92
BR,25-May-01,1,99
BR,25-May-01,1,119
BR,26-May-01,1,93
BR,26-May-01,1,119
BR,26-May-01,1,110
BR,26-May-01,1,97
BR,27-May-01,1,93
BR,27-May-01,1,101
BR,27-May-01,1,90
BR,27-May-01,1,
BR,27-May-01,1,97
BR,27-May-01,1,95
BR,28-May-01,1,102
BR,28-May-01,1,84
BR,28-May-01,1,87
